State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2015 - 2016,"2,51,021.00","6,41,636.00",2.56,,,,,,,,,
,,2016 - 2017,"60,180.00","1,82,310.00",3.03,,,,,,,,,
,,2017 - 2018,"73,140.00","1,24,338.00",1.7,,,,,,,,,
,,2018 - 2019,"69,337.00","1,83,131.00",2.64,,,,,,,,,
,,2019 - 2020,"69,508.00","1,96,005.00",2.82,,,,,,,,,
,,2020 - 2021,"80,825.00","1,82,104.00",2.25,,,,,,,,,
,,2021 - 2022,"44,353.00","1,38,277.00",3.12,,,,,,,,,
,,2022 - 2023,"54,785.00","2,21,718.00",4.05,117,474,4.05,,,,,,
,31. Warangal urban,2016 - 2017,"30,041.00","91,007.00",3.03,,,,,,,,,
,,2017 - 2018,"35,408.00","79,980.00",2.26,,,,,,,,,
,,2018 - 2019,"32,838.00","73,789.00",2.25,,,,,,,,,
,,2019 - 2020,"30,888.00","82,161.00",2.66,,,,,,,,,
,,2020 - 2021,"33,567.00","50,256.00",1.5,,,,,,,,,
,,2021 - 2022,"31,957.00","81,958.00",2.56,,,,,,,,,
,,2022 - 2023,"37,266.00","1,39,638.00",3.75,60,225,3.75,,,,,,
,32. Yadadri,2016 - 2017,"47,207.00","77,753.00",1.65,,,,,,,,,
,,2017 - 2018,"67,848.00","1,66,826.00",2.46,,,,,,,,,
,,2018 - 2019,"67,266.00","1,08,021.00",1.61,,,,,,,,,
,,2019 - 2020,"69,609.00","2,15,515.00",3.1,,,,,,,,,
,,2020 - 2021,"73,877.00","1,87,918.00",2.54,,,,,,,,,
,,2021 - 2022,"50,714.00","1,19,029.00",2.35,,,,,,,,,
,,2022 - 2023,"47,575.00","1,51,121.00",3.18,13,41,3.15,,,,,,
21. Tripura,1. Dhalai,2013 - 2014,351,587,1.67,,,,,,,,,
,,2014 - 2015,340,561,1.65,,,,,,,,,
,,2015 - 2016,340,548,1.61,,,,,,,,,
,,2016 - 2017,331,555,1.68,,,,,,,,,
,,2017 - 2018,347,520,1.5,,,,,,,,,
,,2018 - 2019,346,590.76,1.71,,,,,,,,,
,,2019 - 2020,292,512.24,1.75,,,,,,,,,
,,2020 - 2021,260,431,1.66,,,,,,,,,
,,2021 - 2022,233,403,1.73,,,,,,,,,
,,2022 - 2023,160,274,1.71,,,,,,,,,
,2. Gomati,2013 - 2014,121,165,1.36,,,,,,,,,
,,2014 - 2015,103,154,1.5,,,,,,,,,
,,2015 - 2016,97,141,1.45,,,,,,,,,
,,2016 - 2017,92,141,1.53,,,,,,,,,
,,2017 - 2018,55,61,1.11,,,,,,,,,
,,2018 - 2019,59,63.85,1.08,,,,,,,,,
,,2019 - 2020,64,70.27,1.1,,,,,,,,,
,,2020 - 2021,41,66,1.61,,,,,,,,,
,,2021 - 2022,30,39,1.3,,,,,,,,,
,,2022 - 2023,10,14,1.4,,,,,,,,,
,3. Khowai,2013 - 2014,69,103,1.49,,,,,,,,,
,,2014 - 2015,49,73,1.49,,,,,,,,,
,,2015 - 2016,49,75,1.53,,,,,,,,,
,,2016 - 2017,47,75,1.6,,,,,,,,,
,,2017 - 2018,39,53,1.36,,,,,,,,,
,,2018 - 2019,51,71.45,1.4,,,,,,,,,
,,2019 - 2020,47,66.1,1.41,,,,,,,,,
,,2020 - 2021,52,79,1.52,,,,,,,,,
,,2021 - 2022,41,60,1.46,,,,,,,,,
,,2022 - 2023,44,65,1.48,,,,,,,,,
,4. North tripura,2013 - 2014,277,353,1.27,,,,,,,,,
,,2014 - 2015,286,373,1.3,,,,,,,,,
,,2015 - 2016,290,415,1.43,,,,,,,,,
,,2016 - 2017,238,340,1.43,,,,,,,,,
,,2017 - 2018,223,327,1.47,,,,,,,,,
,,2018 - 2019,220,298.85,1.36,,,,,,,,,
,,2019 - 2020,244,323.9,1.33,,,,,,,,,
,,2020 - 2021,162,226,1.4,,,,,,,,,
,,2021 - 2022,135,183,1.36,,,,,,,,,
,,2022 - 2023,100,138,1.38,,,,,,,,,
,5. Sepahijala,2013 - 2014,13,20,1.54,,,,,,,,,
,,2014 - 2015,10,15,1.5,,,,,,,,,
,,2015 - 2016,13,20,1.54,,,,,,,,,
,,2016 - 2017,14,23,1.64,,,,,,,,,
,,2017 - 2018,12,18,1.5,,,,,,,,,
,,2018 - 2019,7,10.53,1.5,,,,,,,,,
,,2019 - 2020,10,10.7,1.07,,,,,,,,,
,,2020 - 2021,20,31,1.55,,,,,,,,,
,,2021 - 2022,5,5.8,1.16,,,,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,,,,
,6. South tripura,2013 - 2014,63,86,1.37,,,,,,,,,
,,2014 - 2015,39,56,1.44,,,,,,,,,
,,2015 - 2016,67,93,1.39,,,,,,,,,
,,2016 - 2017,64,96,1.5,,,,,,,,,
,,2017 - 2018,86,117,1.36,,,,,,,,,
,,2018 - 2019,77,102.7,1.33,,,,,,,,,
,,2019 - 2020,47,71.12,1.51,,,,,,,,,
,,2020 - 2021,40,63,1.58,,,,,,,,,
,,2021 - 2022,58,82,1.41,,,,,,,,,
,,2022 - 2023,46,65,1.41,,,,,,,,,
,7. Unakoti,2013 - 2014,44,65,1.48,,,,,,,,,
,,2014 - 2015,64,97,1.52,,,,,,,,,
,,2015 - 2016,36,56,1.56,,,,,,,,,
,,2016 - 2017,62,95,1.53,,,,,,,,,
,,2017 - 2018,28,43,1.54,,,,,,,,,
,,2018 - 2019,28,41.68,1.49,,,,,,,,,
,,2019 - 2020,28,41.2,1.47,,,,,,,,,
,,2020 - 2021,20,32,1.6,,,,,,,,,
,,2021 - 2022,5,8,1.6,,,,,,,,,
,,2022 - 2023,27,44,1.63,,,,,,,,,
,8. West tripura,2013 - 2014,11,16,1.45,,,,,,,,,
,,2014 - 2015,13,18,1.38,,,,,,,,,
,,2015 - 2016,12,17,1.42,,,,,,,,,
,,2016 - 2017,22,33,1.5,,,,,,,,,
,,2017 - 2018,15,21,1.4,,,,,,,,,
,,2018 - 2019,24,35.2,1.47,,,,,,,,,
,,2019 - 2020,28,42.98,1.54,,,,,,,,,
,,2020 - 2021,10,14,1.4,,,,,,,,,
,,2021 - 2022,19,28,1.47,,,,,,,,,
22. Uttar Pradesh,1. Agra,2013 - 2014,717,194,0.27,,,,,,,,,
,,2014 - 2015,"1,571.00",462,0.29,,,,,,,,,
,,2015 - 2016,"2,871.00","1,036.00",0.36,,,,,,,,,
,,2016 - 2017,338,118,0.35,,,,,,,,,
,,2017 - 2018,329,82,0.25,,,,,,,,,
,,2018 - 2019,293,115,0.39,,,,,,,,,
,,2019 - 2020,326,794.1,2.44,,,,,,,,,
,,2020 - 2021,309,658.82,2.13,,,,,,,,,
,,2021 - 2022,385,148,0.38,,,,,,,,,
,,2022 - 2023,390,149,0.38,,,,,,,,,
,2. Aligarh,2013 - 2014,640,124,0.19,,,,,,,,,
,,2014 - 2015,"1,721.00",544,0.32,,,,,,,,,
,,2015 - 2016,"1,749.00",514,0.29,,,,,,,,,
,,2016 - 2017,"1,135.00",461,0.41,,,,,,,,,
,,2017 - 2018,641,190,0.3,,,,,,,,,
,,2018 - 2019,"2,045.00",658,0.32,,,,,,,,,
,,2019 - 2020,490,705.88,1.44,,,,,,,,,
,,2020 - 2021,612,"1,058.82",1.73,,,,,,,,,
,,2021 - 2022,873,336,0.38,,,,,,,,,
,,2022 - 2023,482,184,0.38,,,,,,,,,
,3. Baghpat,2013 - 2014,38,9,0.24,,,,,,,,,
,,2014 - 2015,4,1,0.25,,,,,,,,,
,,2015 - 2016,6,2,0.33,,,,,,,,,
,,2016 - 2017,29,10,0.34,,,,,,,,,
,,2017 - 2018,24,9,0.38,,,,,,,,,
,,2018 - 2019,24,8,0.33,,,,,,,,,
,,2019 - 2020,22,52.9,2.4,,,,,,,,,
,,2020 - 2021,12,23.53,1.96,,,,,,,,,
,,2021 - 2022,35,13,0.37,,,,,,,,,
,,2022 - 2023,30,11,0.37,,,,,,,,,
,4. Budaun,2013 - 2014,2,1,0.5,,,,,,,,,
,,2015 - 2016,1,,0,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,5. Bulandshahr,2013 - 2014,244,55,0.23,,,,,,,,,
,,2014 - 2015,224,67,0.3,,,,,,,,,
,,2015 - 2016,433,150,0.35,,,,,,,,,
,,2016 - 2017,202,72,0.36,,,,,,,,,
,,2017 - 2018,127,47,0.37,,,,,,,,,
,,2018 - 2019,178,61,0.34,,,,,,,,,
,,2019 - 2020,165,382.3,2.32,,,,,,,,,
,,2020 - 2021,154,329.41,2.14,,,,,,,,,
,,2021 - 2022,184,71,0.39,,,,,,,,,
,,2022 - 2023,160,61,0.38,,,,,,,,,
,6. Etah,2013 - 2014,13,2,0.15,,,,,,,,,
,,2015 - 2016,27,9,0.33,,,,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,,2019 - 2020,7,17.6,2.51,,,,,,,,,
,,2021 - 2022,12,5,0.42,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,7. Firozabad,2013 - 2014,7,2,0.29,,,,,,,,,
,,2014 - 2015,21,6,0.29,,,,,,,,,
,,2015 - 2016,33,12,0.36,,,,,,,,,
,,2016 - 2017,14,5,0.36,,,,,,,,,
,,2017 - 2018,15,3,0.2,,,,,,,,,
,,2018 - 2019,9,4,0.44,,,,,,,,,
,,2019 - 2020,12,29.41,2.45,,,,,,,,,
,,2020 - 2021,12,23.53,1.96,,,,,,,,,
,,2021 - 2022,16,6,0.38,,,,,,,,,
,8. Gautam buddha nagar,2018 - 2019,8,3,0.38,,,,,,,,,
,9. Hardoi,2013 - 2014,6,1,0.17,,,,,,,,,
,,2019 - 2020,14,29.41,2.1,,,,,,,,,
,,2020 - 2021,14,29.41,2.1,,,,,,,,,
,,2021 - 2022,16,6,0.38,,,,,,,,,
,10. Hathras,2013 - 2014,943,152,0.16,,,,,,,,,
,,2014 - 2015,"1,173.00",333,0.28,,,,,,,,,
,,2015 - 2016,"1,096.00",405,0.37,,,,,,,,,
,,2016 - 2017,"1,251.00",420,0.34,,,,,,,,,
,,2017 - 2018,"1,341.00",779,0.58,,,,,,,,,
,,2018 - 2019,"1,408.00",441,0.31,,,,,,,,,
,,2019 - 2020,848,"2,247.00",2.65,,,,,,,,,
,,2020 - 2021,640,"1,664.71",2.6,,,,,,,,,
,,2021 - 2022,"1,020.00",392,0.38,,,,,,,,,
,,2022 - 2023,887,339,0.38,,,,,,,,,
,11. Jaunpur,2013 - 2014,22,5,0.23,,,,,,,,,
,12. Jhansi,2014 - 2015,73,22,0.3,,,,,,,,,
,13. Kanpur nagar,2020 - 2021,2,5.88,2.94,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,14. Kushi nagar,2013 - 2014,5,1,0.2,,,,,,,,,
,15. Mathura,2013 - 2014,"1,217.00",328,0.27,,,,,,,,,
,,2014 - 2015,"1,514.00",446,0.29,,,,,,,,,
,,2015 - 2016,"1,415.00",511,0.36,,,,,,,,,
,,2016 - 2017,"2,610.00",912,0.35,,,,,,,,,
,,2017 - 2018,"1,617.00",403,0.25,,,,,,,,,
,,2018 - 2019,"1,404.00",549,0.39,,,,,,,,,
,,2019 - 2020,"1,301.00","3,170.50",2.44,,,,,,,,,
,,2020 - 2021,"1,112.00","2,370.59",2.13,,,,,,,,,
,,2021 - 2022,"1,489.00",572,0.38,,,,,,,,,
,,2022 - 2023,"1,204.00",460,0.38,,,,,,,,,
,16. Meerut,2013 - 2014,11,2,0.18,,,,,,,,,
,,2014 - 2015,9,3,0.33,,,,,,,,,
,,2015 - 2016,4,1,0.25,,,,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,,,,
,,2018 - 2019,4,1,0.25,,,,,,,,,
,,2020 - 2021,14,29.41,2.1,,,,,,,,,
,,2021 - 2022,16,6,0.38,,,,,,,,,
,,2022 - 2023,14,5,0.36,,,,,,,,,
,17. Muzaffarnagar,2013 - 2014,25,6,0.24,,,,,,,,,
,,2015 - 2016,32,11,0.34,,,,,,,,,
,,2016 - 2017,28,10,0.36,,,,,,,,,
,,2017 - 2018,54,20,0.37,,,,,,,,,
,,2018 - 2019,268,92,0.34,,,,,,,,,
,,2020 - 2021,40,88.24,2.21,,,,,,,,,
,,2021 - 2022,46,18,0.39,,,,,,,,,
,,2022 - 2023,40,15,0.38,,,,,,,,,
,18. Saharanpur,2013 - 2014,2,,0,,,,,,,,,
,,2014 - 2015,7,2,0.29,,,,,,,,,
,,2015 - 2016,12,4,0.33,,,,,,,,,
,,2016 - 2017,15,5,0.33,,,,,,,,,
,,2018 - 2019,6,2,0.33,,,,,,,,,
,,2022 - 2023,7,3,0.43,,,,,,,,,
,19. Sant kabeer nagar,2018 - 2019,1,1,1,,,,,,,,,
,20. Sant ravidas nagar,2018 - 2019,18,6,0.33,,,,,,,,,
,,2020 - 2021,35,76.47,2.18,,,,,,,,,
,21. Shamli,2013 - 2014,9,2,0.22,,,,,,,,,
,,2015 - 2016,9,3,0.33,,,,,,,,,
,,2020 - 2021,14,29.41,2.1,,,,,,,,,
,22. Sitapur,2018 - 2019,23,8,0.35,,,,,,,,,
23. West Bengal,1. 24 paraganas north,2013 - 2014,77,239,3.1,,,,,,,,,
,2. 24 paraganas south,2013 - 2014,287,"1,079.00",3.76,,,,,,,,,
,,2014 - 2015,615,"1,574.00",2.56,,,,,,,,,
,,2015 - 2016,451,"1,326.00",2.94,,,,,,,,,
,,2016 - 2017,275,872,3.17,,,,,,,,,
,,2017 - 2018,176,866,4.92,,,,,,,,,
,,2018 - 2019,360,"1,753.00",4.87,,,,,,,,,
,,2019 - 2020,300,588,1.96,,,,,,,,,
,,2020 - 2021,296,873,2.95,,,,,,,,,
,,2021 - 2022,80,254,3.18,,,,,,,,,
,,2022 - 2023,80,404,5.05,,,,,,,,,
,3. Medinipur east,2019 - 2020,5,2,0.4,,,,,,,,,
